"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Danau Permai, Taman Danau Desa, Taman Desa","Danau Permai","1500","2.19","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.101619","101.688108","Kuala Lumpur","Taman Desa","1","1","684","1","Fully furnished","2021-05-08T09:51:29.432Z","198","Corner lot","Condominium"
"Desa Green, Taman Desa","Desa Green","1600","2.24","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T09:40:10.394Z","4084","Intermediate","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","2100","2.25","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Fully furnished","2021-05-08T09:32:33.370Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1700","2.38","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T09:22:39.254Z","4084","Intermediate","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1700","2.38","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T09:20:31.747Z","4084","NULL","Serviced Residence"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1500","1.6","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","938","1","Fully furnished","2021-05-08T09:20:13.428Z","432","Intermediate","Condominium"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1200","1.28","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","938","1","Partly furnished","2021-05-08T09:20:05.105Z","432","Intermediate","Condominium"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1500","1.6","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","938","1","Fully furnished","2021-05-08T09:19:59.365Z","432","Intermediate","Condominium"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1500","1.6","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","938","1","Fully furnished","2021-05-08T09:19:52.936Z","432","Intermediate","Condominium"
"Desa Green, Taman Desa","Desa Green","1700","2.38","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T09:19:44.072Z","4084","NULL","Serviced Residence"
"Casa Desa, Taman Desa","Casa Desa","2000","1.56","Jalan Desa Utama, Taman Desa, 58100, Kuala Lumpur","3.09754","101.679157","Kuala Lumpur","Taman Desa","2","2","1,279","2","Fully furnished","2021-05-08T09:19:08.319Z","1234","NULL","Condominium"
"Desa Green, Taman Desa","Desa Green","1500","2.56","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","587","1","Fully furnished","2021-05-08T09:18:55.306Z","4084","Intermediate","Serviced Residence"
"Bukit Desa Condominium, Taman Desa","Bukit Desa Condominium","690000","557.8","Jalan Bukit Desa 3, Taman Desa, 58200, Kuala Lumpur","3.111388","101.686717","Kuala Lumpur","Taman Desa","3","2","1,237","1","Fully furnished","2021-05-08T09:15:42.024Z","136","Corner lot","Condominium"
"Danau Permai, Taman Danau Desa, Taman Desa","Danau Permai","2100","1.68","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.101619","101.688108","Kuala Lumpur","Taman Desa","3","2","1,250","1","Fully furnished","2021-05-08T08:55:27.731Z","198","Corner lot","Condominium"
"Danau Permai, Taman Danau Desa, Taman Desa","Danau Permai","1500","2.19","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.101619","101.688108","Kuala Lumpur","Taman Desa","1","1","684","1","Fully furnished","2021-05-08T08:46:12.681Z","198","Corner lot","Condominium"
"Desa Green, Taman Desa","Desa Green","1480","2.56","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","578","1","Partly furnished","2021-05-08T07:13:29.608Z","4084","NULL","Serviced Residence"
"Casa Desa, Taman Desa","Casa Desa","1800","1.64","Jalan Desa Utama, Taman Desa, 58100, Kuala Lumpur","3.09754","101.679157","Kuala Lumpur","Taman Desa","3","2","1,100","2","Fully furnished","2021-05-08T06:58:12.833Z","1234","NULL","Condominium"
"Desa Green, Taman Desa","Desa Green","1300","1.39","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Unfurnished","2021-05-08T06:07:40.998Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1500","2.56","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","587","1","Fully furnished","2021-05-08T05:24:03.801Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","2.52","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T04:49:17.330Z","4084","NULL","Serviced Residence"
"Danau Permai, Taman Danau Desa, Taman Desa","Danau Permai","1500","2.31","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.101619","101.688108","Kuala Lumpur","Taman Desa","1","1","650","1","Fully furnished","2021-05-08T03:56:30.630Z","198","Studio","Condominium"
"Tiara Faber, Taman Desa","Tiara Faber","1700","1.36","456, Jalan Desa Utama, Taman Desa, 58100, Kuala Lumpur","3.108171","101.690719","Kuala Lumpur","Taman Desa","3","2","1,250","2","Fully furnished","2021-05-08T02:18:29.914Z","458","Intermediate","Condominium"
"Desa Green, Taman Desa","Desa Green","1600","1.71","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Partly furnished","2021-05-08T00:45:16.242Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1300","1.82","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Partly furnished","2021-05-08T00:45:16.129Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1300","2.25","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","578","1","Partly furnished","2021-05-08T00:45:15.751Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","1.93","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Fully furnished","2021-05-08T00:45:15.426Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1600","2.24","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T00:45:15.326Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","2.52","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-08T00:45:15.258Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","2000","2.14","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Fully furnished","2021-05-08T00:45:15.118Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1500","2.1","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","714","1","Fully furnished","2021-05-08T00:24:01.356Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1500","2.1","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-07T16:13:11.160Z","4084","Intermediate","Serviced Residence"
"Papillon Desahill Condominium, Taman Desa","Papillon Desahill Condominium","3400","2","Jalan Desa Utama, Taman Desa, 58100, Kuala Lumpur","3.103033","101.679698","Kuala Lumpur","Taman Desa","3","4","1,700","2","Partly furnished","2021-05-07T12:32:16.795Z","1417","NULL","Condominium"
"Desa Green, Taman Desa","Desa Green","1700","2.38","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-07T12:17:46.985Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","2.52","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-07T12:10:59.195Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1500","2.56","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","587","1","Fully furnished","2021-05-07T09:01:51.997Z","4084","Corner lot","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1650","2.31","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-07T08:26:29.196Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","1.93","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","3","2","935","1","Fully furnished","2021-05-07T07:15:41.170Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1500","2.6","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","1","1","578","1","Fully furnished","2021-05-07T07:07:54.182Z","4084","NULL","Serviced Residence"
"Desa Green, Taman Desa","Desa Green","1800","2.52","Jalan Desa Bakti, Off Taman Desa, Taman Desa, 58100, Kuala Lumpur","3.104835","101.694699","Kuala Lumpur","Taman Desa","2","2","715","1","Fully furnished","2021-05-07T06:46:03.878Z","4084","NULL","Serviced Residence"
"Danau Impian, Taman Danau Desa, Taman Desa","Danau Impian","1200","1.31","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.100318","101.688224","Kuala Lumpur","Taman Desa","3","2","918","1","Partly furnished","2021-05-07T06:39:17.037Z","197","Intermediate","Condominium"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1550","1.65","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","940","1","Fully furnished","2021-05-07T05:44:04.546Z","432","NULL","Condominium"
"Danau Impian, Taman Danau Desa, Taman Desa","Danau Impian","1400","1.4","Jalan 3/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.100318","101.688224","Kuala Lumpur","Taman Desa","3","2","1,000","1","Fully furnished","2021-05-07T05:38:06.873Z","197","NULL","Condominium"
"Danau Idaman, Taman Danau Desa, Taman Desa","Danau Idaman","1500","1.6","Jalan 2/109F, Taman Danau Desa, 58100, Kuala Lumpur","3.099378","101.685741","Kuala Lumpur","Taman Desa","3","2","938","1","Partly furnished","2021-05-07T05:24:22.458Z","432","NULL","Condominium"
"Tiara Faber, Taman Desa","Tiara Faber","1500","1.2","456, Jalan Desa Utama, Taman Desa, 58100, Kuala Lumpur","3.108171","101.690719","Kuala Lumpur","Taman Desa","3+1","2","1,250","1","Fully furnished","2021-05-07T05:13:15.494Z","458","Intermediate","Condominium"
